Brand Name,Identifier,Munsell Specification,Total Hue,0.0G 1.85/2.6,Hue Letter(s),ASTM Hue,Value,Chroma,Pigments
Gamblin Artist's Oil Colors,Cadmium Yellow Medium,2.5Y 8/14,2.5Y,2.5,Y,22.50,8,14,[PY37]
Williamsburg Handmade Oil Paints,French Light Sienna,2.5Y 3.21/3.36,2.5Y,2.5,Y,22.50,3.21,3.36,[PY43]
Gamblin Artist's Oil Colors,Radiant Yellow,2.5Y 8.5/14,2.5Y,2.5,Y,22.50,8.5,14,[PY83] [PW6]
Gamblin Artist's Oil Colors,Titanium Buff,2.5Y 8/3,2.5Y,2.5,Y,22.50,8,3,[PY53]
Gamblin Artist's Oil Colors,Warm White,2.5Y 9/2,2.5Y,2.5,Y,22.50,9,2,[PO62] [PY74] [PW6] [PW4]
Williamsburg Handmade Oil Paints,Permanent Yellow Medium,2.6Y 8.38/16.95,2.6Y,2.6,Y,22.60,8.38,16.95,[PY65] [PY74]
Schmincke Norma Professional Oil Colors,Raw Umber,2.6Y 2.21/1.8,2.6Y,2.6,Y,22.60,2.21,1.8,[PBr7]
Williamsburg Handmade Oil Paints,Cadmium Yellow Medium,2.7Y 8.45/16.78,2.7Y,2.7,Y,22.70,8.45,16.78,[PY37]
Schmincke Mussini Oil Colors,Translucent Yellow,2.7Y 3.87/7.2,2.7Y,2.7,Y,22.70,3.87,7.2,[PY150]
Williamsburg Handmade Oil Paints,Cobalt Yellow,2.8Y 6.92/13.14,2.8Y,2.8,Y,22.80,6.92,13.14,[PY40]
Williamsburg Handmade Safflower Oil Colors,Flake White,2.8Y 9.61/0.28,2.8Y,2.8,Y,22.80,9.61,0.28,[PW1]
Williamsburg Handmade Oil Paints,Italian Black Roman Earth,2.9Y 1.84/0.14,2.9Y,2.9,Y,22.90,1.84,0.14,[PBk6] [PBr7]
Maimeri Puro Oil Colors,Primary Yellow,3.1Y 8.09/15.7,3.1Y,3.1,Y,23.10,8.09,15.7,[PY97]
Schmincke Norma Professional Oil Colors,Cadmium Yellow Mix,3.4Y 8.33/15.6,3.4Y,3.4,Y,23.40,8.33,15.6,[PW6] [PW4] [PY35]
Grumbacher Pre-Tested Artists' Oil Colors,Hansa Yellow,3.4Y 7.76/15,3.4Y,3.4,Y,23.40,7.76,15,[PY74]
Williamsburg Handmade Oil Paints,Davy's Gray Deep,3.8Y 2.38/0.23,3.8Y,3.8,Y,23.80,2.38,0.23,[PBk19]
Gamblin Artist's Oil Colors,Hansa Yellow Medium,3.8Y 8.5/14,3.8Y,3.8,Y,23.80,8.5,14,[PY74]
Williamsburg Handmade Oil Paints,Italian Raw Umber,4.0Y 2.24/0.73,4.0Y,4.0,Y,24.00,2.24,0.73,[PBr7]
Williamsburg Handmade Oil Paints,Flake White,4.9Y 9.58/0.31,4.9Y,4.9,Y,24.90,9.58,0.31,[PW1]
Gamblin Artist's Oil Colors,Cadmium Yellow Light,5.0Y 9/14,5.0Y,5.0,Y,25.00,9,14,[PY35]
Gamblin Artist's Oil Colors,Hansa Yellow Medium,5.0Y 8/14,5.0Y,5.0,Y,25.00,8,14,[PY74]
Winsor & Newton Artists' Oil Colors,Raw Umber (Green Shade),5.0Y 2/2,5.0Y,5.0,Y,25.00,2,2,[PBr7]
Grumbacher Pre-Tested Artists' Oil Colors,Cadmium Yellow Pale,5.6Y 8.61/13.1,5.6Y,5.6,Y,25.60,8.61,13.1,[PY35:1]
Grumbacher Pre-Tested Artists' Oil Colors,Bismuth Yellow,6.0Y 8.72/12.8,6.0Y,6.0,Y,26.00,8.72,12.8,[PY184]
Williamsburg Handmade Oil Paints,Cadmium Yellow Light,6.1Y 8.89/15.1,6.1Y,6.1,Y,26.10,8.89,15.1,[PY37]
Williamsburg Handmade Oil Paints,Raw Umber,6.4Y 1.83/1.18,6.4Y,6.4,Y,26.40,1.83,1.18,[PBr7]
Williamsburg Handmade Oil Paints,Bohemian Green Earth,6.5Y 2.95/2.62,6.5Y,6.5,Y,26.50,2.95,2.62,[PY184] [PBk11] [PR101] [PW6] [PY42]
Williamsburg Handmade Oil Paints,Permanent Yellow Light,6.5Y 8.85/14.46,6.5Y,6.5,Y,26.50,8.85,14.46,[PY3]
Williamsburg Handmade Oil Paints,Brilliant Yellow Pale,6.7Y 9.5/4.38,6.7Y,6.7,Y,26.70,9.5,4.38,[PY1] [PW6]
Gamblin Artist's Oil Colors,Cadmium Yellow Light,7.5Y 8.5/10,7.5Y,7.5,Y,27.50,8.5,10,[PY35]
Gamblin Artist's Oil Colors,Hansa Yellow Light,7.5Y 8.5/12,7.5Y,7.5,Y,27.50,8.5,12,[PY3]
Gamblin Artist's Oil Colors,Nickel Titanate Yellow,7.5Y 8.5/8,7.5Y,7.5,Y,27.50,8.5,8,[PY53]
Williamsburg Handmade Oil Paints,Brilliant Yellow Extra Pale,7.7Y 9.57/1.3,7.7Y,7.7,Y,27.70,9.57,1.3,[PY3] [PW6]
Schmincke Norma Professional Oil Colors,Cadmium Yellow Lemon,7.9Y 8.93/13.9,7.9Y,7.9,Y,27.90,8.93,13.9,[PY35]
Schmincke Mussini Oil Colors,Lemon Yellow,7.9Y 8.77/14.1,7.9Y,7.9,Y,27.90,8.77,14.1,[PY3]
Williamsburg Handmade Oil Paints,Permanent Lemon,8.2Y 8.74/13.18,8.2Y,8.2,Y,28.20,8.74,13.18,[PY3] [PW6] [PG18]
Rembrandt Artists' Oil Colors,Cadmium Yellow Lemon,8.3Y 8.52/12.2,8.3Y,8.3,Y,28.30,8.52,12.2,[PY35]
Williamsburg Handmade Oil Paints,French Ardoise Grey,8.4Y 4.64/0.99,8.4Y,8.4,Y,28.40,4.64,0.99,[PBk19]
Schmincke Norma Professional Oil Colors,Lemon Yellow,8.4Y 8.68/14,8.4Y,8.4,Y,28.40,8.68,14,[PY3]
Williamsburg Handmade Oil Paints,Cadmium Lemon,9.1Y 9.05/12.69,9.1Y,9.1,Y,29.10,9.05,12.69,[PY37]
Williamsburg Handmade Oil Paints,Nickel Yellow,9.2Y 8.61/8.21,9.2Y,9.2,Y,29.20,8.61,8.21,[PY53]
Gamblin Artist's Oil Colors,Cadmium Chartreuse,10.0Y 8/14,10.0Y,10.0,Y,30.00,8,14,[PY35] [PG36]
Gamblin Artist's Oil Colors,Cadmium Lemon,10.0Y 8.5/10,10.0Y,10.0,Y,30.00,8.5,10,[PY35]
Winsor & Newton Artists' Oil Colors,Green Gold,10.0Y 4/6,10.0Y,10.0,Y,30.00,4,6,[PY129]
Gamblin Artist's Oil Colors,Green Gold,10.0Y 4/6,10.0Y,10.0,Y,30.00,4,6,[PY129]
Gamblin Artist's Oil Colors,Olive Green,10.0Y 3/4,10.0Y,10.0,Y,30.00,3,4,[PBr7] [PY74] [PB15:1]
Gamblin Artist's Oil Colors,Radiant Lemon,10.0Y 9/10,10.0Y,10.0,Y,30.00,9,10,[PY3] [PW6]
Gamblin Artist's Oil Colors,Terre Verte,10.0Y 4/2,10.0Y,10.0,Y,30.00,4,2,[PY43] [PBk9] [PG18]
Schmincke Mussini Oil Colors,Shade Gray,0.2GY 2.72/1.5,0.2GY,0.2,GY,30.20,2.72,1.5,[PG18] [PY42] [PBk11] [PW4]
Williamsburg Handmade Oil Paints,Courbet Green,1.5GY 1.29/2.12,1.5GY,1.5,GY,31.50,1.29,2.12,[PBr7] [PY37] [PB27]
Williamsburg Handmade Oil Paints,Earth Green,1.6GY 3.19/2.5,1.6GY,1.6,GY,31.60,3.19,2.5,[PBr7] [PG7]
Williamsburg Handmade Oil Paints,Green Gold,2.0GY 2.87/5.84,2.0GY,2.0,GY,32.00,2.87,5.84,[PY129]
Williamsburg Handmade Oil Paints,Titanium-Zinc White,2.0GY 9.74/0.26,2.0GY,2.0,GY,32.00,9.74,0.26,[PW6] [PW4]
Williamsburg Handmade Oil Paints,Titanium White,2.7GY 9.73/0.24,2.7GY,2.7,GY,32.70,9.73,0.24,[PW6]
Williamsburg Handmade Oil Paints,Zinc White,3.0GY 9.6/0.22,3.0GY,3.0,GY,33.00,9.6,0.22,[PW4]
Williamsburg Handmade Oil Paints,Cinnabar Green Light,3.6GY 6.91/10.35,3.6GY,3.6,GY,33.60,6.91,10.35,[PY3] [PG7] [PW4]
Schmincke Norma Professional Oil Colors,Olive Green,4.1GY 3.4/4,4.1GY,4.1,GY,34.10,3.4,4,[PY42] [PB60] [PY150]
Schmincke Mussini Oil Colors,Translucent Golden Green,4.1GY 2.9/6.4,4.1GY,4.1,GY,34.10,2.9,6.4,[PY129] [PG7]
Schmincke Mussini Oil Colors,Verona Green Earth,4.1GY 2.9/6.3,4.1GY,4.1,GY,34.10,2.9,6.3,[PG18] [PR101]
Williamsburg Handmade Safflower Oil Colors,Titanium-Zinc White,4.5GY 9.8/0.2,4.5GY,4.5,GY,34.50,9.8,0.2,[PW6] [PW4]
Williamsburg Handmade Oil Paints,Turkey Umber,4.9GY 1.64/1.53,4.9GY,4.9,GY,34.90,1.64,1.53,[PBr7] [PG7]
Gamblin Artist's Oil Colors,Cadmium Green,5.0GY 7/12,5.0GY,5.0,GY,35.00,7,12,[PY35] [PG18]
Gamblin Artist's Oil Colors,Sap Green,5.0GY 2/2,5.0GY,5.0,GY,35.00,2,2,[PY83] [PB15:1]
Williamsburg Handmade Oil Paints,Olive Green,5.4GY 2.67/6.03,5.4GY,5.4,GY,35.40,2.67,6.03,[PY129] [PG36] [PY42]
Williamsburg Handmade Safflower Oil Colors,Titanium White,5.4GY 9.79/0.16,5.4GY,5.4,GY,35.40,9.79,0.16,[PW6]
Grumbacher Pre-Tested Artists' Oil Colors,Prussian Green,6.9GY 2.55/5.6,6.9GY,6.9,GY,36.90,2.55,5.6,[PB27] [PY150]
Williamsburg Handmade Oil Paints,Cadmium Green Light,7.4GY 5.86/10.98,7.4GY,7.4,GY,37.40,5.86,10.98,[PY37] [PG18]
Winsor & Newton Artists' Oil Colors,Cobalt Chromite Green,7.7GY 2.29/5.1,7.7GY,7.7,GY,37.70,2.29,5.1,[PG26]
Maimeri Puro Oil Colors,Green Earth,7.8GY 2.96/3.4,7.8GY,7.8,GY,37.80,2.96,3.4,[PG23]
Schmincke Norma Professional Oil Colors,Permanent Yellowish-Green,8.3GY 7.18/13.6,8.3GY,8.3,GY,38.30,7.18,13.6,[PY184] [PG36] [PY150]
Grumbacher Pre-Tested Artists' Oil Colors,Chromium Oxide Green,8.6GY 3.88/4.8,8.6GY,8.6,GY,38.60,3.88,4.8,[PG17]
Williamsburg Handmade Oil Paints,Cadmium Green,8.7GY 4.33/9.41,8.7GY,8.7,GY,38.70,4.33,9.41,[PY37] [PG18]
Williamsburg Handmade Safflower Oil Colors,Porcelain White,9.0GY 9.63/0.2,9.0GY,9.0,GY,39.00,9.63,0.2,[PW5]
Grumbacher Pre-Tested Artists' Oil Colors,Superba White,9.0GY 9.77/0.6,9.0GY,9.0,GY,39.00,9.77,0.6,[PW6] [PW4]
Maimeri Puro Oil Colors,Chrome Oxide Green,9.6GY 4.01/5.3,9.6GY,9.6,GY,39.60,4.01,5.3,[PG17]
Schmincke Norma Professional Oil Colors,Opaque White,9.6GY 9.63/0.8,9.6GY,9.6,GY,39.60,9.63,0.8,[PW7]
Williamsburg Handmade Oil Paints,Chromium Oxide Green,9.8GY 3.83/5.2,9.8GY,9.8,GY,39.80,3.83,5.2,[PG17]
Schmincke Norma Professional Oil Colors,Chromium Oxide Green,9.9GY 4.14/4.8,9.9GY,9.9,GY,39.90,4.14,4.8,[PG17]
Schmincke Norma Professional Oil Colors,Green Earth,10.0GY 1.85/2.6,10.0GY,10.0,GY,40.00,1.85,2.6,[PY42] [PBr7] [PG23] [PG18]
Winsor & Newton Artists' Oil Colors,Oxide of Chromium,10.0GY 3/4,10.0GY,10.0,GY,40.00,3,4,[PG17]
Gamblin Artist's Oil Colors,Permanent Green Light,10.0GY 6/12,10.0GY,10.0,GY,40.00,6,12,[PY74] [PG7]
Schmincke Mussini Oil Colors,Sap Green,0.1G 3.11/3.8,0.1G,0.1,G,40.10,3.11,3.8,[PB60] [PY150]
Williamsburg Handmade Oil Paints,Italian Terra Verte,0.4G 3.13/2.8,0.4G,0.4,G,40.40,3.13,2.8,[PG23]
Williamsburg Handmade Safflower Oil Colors,Italian Terra Verte,0.4G 3.15/3.15,0.4G,0.4,G,40.40,3.15,3.15,[PG23]
Williamsburg Handmade Oil Paints,Permanent Green Light,0.4G 5.76/14.88,0.4G,0.4,G,40.40,5.76,14.88,[PY3] [PG7]
Williamsburg Handmade Oil Paints,Permanent Green,0.6G 3.61/11.21,0.6G,0.6,G,40.60,3.61,11.21,[PY1] [PG7]
Winsor & Newton Artists' Oil Colors,Winsor Green (Yellow Shade),0.9G 2.69/9.1,0.9G,0.9,G,40.90,2.69,9.1,[PG36]
Williamsburg Handmade Oil Paints,Sap Green,1.1G 1.7/3.53,1.1G,1.1,G,41.10,1.7,3.53,[PY129] [PG7] [PY42]
Schmincke Mussini Oil Colors,Viridian,1.5G 4.76/10,1.5G,1.5,G,41.50,4.76,10,[PW4] [PY184] [PG18]
Winsor & Newton Artists' Oil Colors,Winsor Green,2.0G 2.19/7.4,2.0G,2.0,G,42.00,2.19,7.4,[PG7]
Gamblin Artist's Oil Colors,Chromium Oxide Green,2.5G 4/4,2.5G,2.5,G,42.50,4,4,[PG17]
Gamblin Artist's Oil Colors,Emerald Green,2.5G 5/12,2.5G,2.5,G,42.50,5,12,[PY74] [PG36] [PW6]
Winsor & Newton Artists' Oil Colors,Cobalt Turquoise Light,2.7G 5.1/8.7,2.7G,2.7,G,42.70,5.1,8.7,[PG50]
Schmincke Norma Professional Oil Colors,Sap Green,2.8G 1.35/2.5,2.8G,2.8,G,42.80,1.35,2.5,[PB60] [PY150]
Gamblin Artist's Oil Colors,Radiant Green,5.0G 7/10,5.0G,5.0,G,45.00,7,10,[PY3] [PG36] [PW6]
Williamsburg Handmade Oil Paints,French Terre Verte,5.7G 3.37/3.12,5.7G,5.7,G,45.70,3.37,3.12,[PG23]
Schmincke Norma Professional Oil Colors,Emerald Green,7.5G 3.24/8.7,7.5G,7.5,G,47.50,3.24,8.7,[PG18] [PG36] [PG50] [PW6]
Gamblin Artist's Oil Colors,Phthalo Green,7.5G 1/4,7.5G,7.5,G,47.50,1,4,[PG7]
Williamsburg Handmade Oil Paints,Veronese Green,7.5G 4.79/11.18,7.5G,7.5,G,47.50,4.79,11.18,[PY3] [PG7] [PW4]
Schmincke Mussini Oil Colors,Helio Green Deep,8.2G 3.06/10.1,8.2G,8.2,G,48.20,3.06,10.1,[PG7]
Williamsburg Handmade Oil Paints,Cobalt Green,8.9G 2.48/5.72,8.9G,8.9,G,48.90,2.48,5.72,[PG26]
Grumbacher Pre-Tested Artists' Oil Colors,Viridian,9.3G 1.92/6,9.3G,9.3,G,49.30,1.92,6,[PB15:3] [PW6] [PG18] [PW4]
Winsor & Newton Artists' Oil Colors,Cobalt Turquoise,0.4BG 2.68/4.6,0.4BG,0.4,BG,50.40,2.68,4.6,[PB36]
Schmincke Norma Professional Oil Colors,Chromium Oxide Green Brilliant,0.9BG 2.36/6.8,0.9BG,0.9,BG,50.90,2.36,6.8,[PG18]
Grumbacher Pre-Tested Artists' Oil Colors,Thalo Yellow Green,1.0BG 1.11/4.7,1.0BG,1.0,BG,51.00,1.11,4.7,[PY3] [PG7] [PW4]
Williamsburg Handmade Oil Paints,Viridian Green,1.5BG 2.01/6.32,1.5BG,1.5,BG,51.50,2.01,6.32,[PG18]
Williamsburg Handmade Oil Paints,Phthalo Green Yellowish,2.4BG 0.93/4.26,2.4BG,2.4,BG,52.40,0.93,4.26,[PG36]
Gamblin Artist's Oil Colors,Cobalt Green,2.5BG 3/6,2.5BG,2.5,BG,52.50,3,6,[PG19]
Winsor & Newton Artists' Oil Colors,Viridian,2.5BG 2/6,2.5BG,2.5,BG,52.50,2,6,[PG18]
Williamsburg Handmade Oil Paints,Turquoise,4.1BG 4.46/9.57,4.1BG,4.1,BG,54.10,4.46,9.57,[PG7] [PW4]
Gamblin Artist's Oil Colors,Phthalo Green,5.0BG 2/6,5.0BG,5.0,BG,55.00,2,6,[PG7]
Grumbacher Pre-Tested Artists' Oil Colors,Cobalt Turquoise,6.3BG 5.15/9.6,6.3BG,6.3,BG,56.30,5.15,9.6,[PG50]
Rembrandt Artists' Oil Colors,Titanium White (Linseed),6.7BG 9.54/0.6,6.7BG,6.7,BG,56.70,9.54,0.6,[PW6] [PW4]
Schmincke Norma Professional Oil Colors,Translucent White,7.0BG 9.34/0.6,7.0BG,7.0,BG,57.00,9.34,0.6,[PW6]
Grumbacher Pre-Tested Artists' Oil Colors,Titanium White,7.5BG 9.79/0.6,7.5BG,7.5,BG,57.50,9.79,0.6,[PW6] [PW4]
Gamblin Artist's Oil Colors,Viridian,7.5BG 2/4,7.5BG,7.5,BG,57.50,2,4,[PG18]
Rembrandt Artists' Oil Colors,Phthalo Green Blue,7.9BG 0.78/3.1,7.9BG,7.9,BG,57.90,0.78,3.1,[PG7]
Schmincke Norma Professional Oil Colors,Titanium White,8.0BG 9.75/0.7,8.0BG,8.0,BG,58.00,9.75,0.7,[PW6] [PW4]
Williamsburg Handmade Oil Paints,Cobalt Greenish Teal,8.2BG 4.95/9.98,8.2BG,8.2,BG,58.20,4.95,9.98,[PG50]
Williamsburg Handmade Oil Paints,Cobalt Turquoise Greenish,8.4BG 3.32/7.6,8.4BG,8.4,BG,58.40,3.32,7.6,[PB36]
Schmincke Mussini Oil Colors,Brownish Gray 1,9.4BG 7.26/0.3,9.4BG,9.4,BG,59.40,7.26,0.3,[PW4] [PW6] [PY155] [PV15]
Gamblin Artist's Oil Colors,Cobalt Teal,10.0BG 5/10,10.0BG,10.0,BG,60.00,5,10,[PB28]
Gamblin Artist's Oil Colors,Cobalt Teal,10.0BG 5/10,10.0BG,10.0,BG,60.00,5,10,[PB28]
Gamblin Artist's Oil Colors,Cool White,10.0BG 9/1,10.0BG,10.0,BG,60.00,9,1,[PB15:1] [PW6] [PW4]
Gamblin Artist's Oil Colors,Phthalo Turquoise,10.0BG 2/4,10.0BG,10.0,BG,60.00,2,4,[PB15:2] [PG7]
Schmincke Norma Professional Oil Colors,Cobalt Turquoise,0.2B 5.6/10.1,0.2B,0.2,B,60.20,5.6,10.1,[PG50]
Grumbacher Pre-Tested Artists' Oil Colors,Thalo Green (Blue Shade),0.3B 0.82/2.6,0.3B,0.3,B,60.30,0.82,2.6,[PG7]
Williamsburg Handmade Oil Paints,Cobalt Teal Bluish,0.8B 5.07/10.26,0.8B,0.8,B,60.80,5.07,10.26,[PB28]
Schmincke Norma Professional Oil Colors,Ivory Black,0.8B 0.76/0.2,0.8B,0.8,B,60.80,0.76,0.2,[PBk9]
Schmincke Norma Professional Oil Colors,Phthalo Green,0.8B 0.93/2.8,0.8B,0.8,B,60.80,0.93,2.8,[PG7]
Schmincke Norma Professional Oil Colors,Vandyke Brown,0.8B 0.76/0.1,0.8B,0.8,B,60.80,0.76,0.1,[PR101] [PR179] [PG7]
Williamsburg Handmade Oil Paints,Phthalo Green,1.4B 0.67/3.54,1.4B,1.4,B,61.40,0.67,3.54,[PG7]
Schmincke Mussini Oil Colors,Bluish Gray 1,2.4B 6.5/0.8,2.4B,2.4,B,62.40,6.5,0.8,[PW4] [PW6] [PY42] [PBk10]
Gamblin Artist's Oil Colors,Radiant Turquoise,2.5B 7/8,2.5B,2.5,B,62.50,7,8,[PB15] [PG7] [PW6]
Grumbacher Pre-Tested Artists' Oil Colors,Cerulean Blue Genuine,5.8B 2.95/5.9,5.8B,5.8,B,65.80,2.95,5.9,[PB35]
Schmincke Mussini Oil Colors,Titanium Opaque White,6.3B 9.63/1,6.3B,6.3,B,66.30,9.63,1,[PW6] [PW4]
Williamsburg Handmade Oil Paints,Indigo,7.1B 0.75/0.95,7.1B,7.1,B,67.10,0.75,0.95,[PBr7] [PB27]
Gamblin Artist's Oil Colors,Manganese Blue Hue,7.5B 4/10,7.5B,7.5,B,67.50,4,10,[PB15:4]
Winsor & Newton Artists' Oil Colors,Prussian Blue,7.9B 1.73/1.4,7.9B,7.9,B,67.90,1.73,1.4,[PB27]
Williamsburg Handmade Oil Paints,Cobalt Turquoise Bluish,9.4B 2.58/8.05,9.4B,9.4,B,69.40,2.58,8.05,[PB36]
Rembrandt Artists' Oil Colors,Ivory Black,9.7B 1.45/0.5,9.7B,9.7,B,69.70,1.45,0.5,[PBk9] [PB29]
Winsor & Newton Artists' Oil Colors,Winsor Blue (Green Shade),9.7B 1.62/4.2,9.7B,9.7,B,69.70,1.62,4.2,[PB15]
Grumbacher Pre-Tested Artists' Oil Colors,Ivory Black,0.1PB 1.01/0.4,0.1PB,0.1,PB,70.10,1.01,0.4,[PBk9]
Winsor & Newton Artists' Oil Colors,Winsor Blue (Red Shade),0.4PB 1.63/4.2,0.4PB,0.4,PB,70.40,1.63,4.2,[PB15]
Schmincke Norma Professional Oil Colors,Azure Blue,0.8PB 4.83/11.8,0.8PB,0.8,PB,70.80,4.83,11.8,[PW6] [PW4] [PB15:3]
Schmincke Norma Professional Oil Colors,Cobalt Cerulean Blue,1.3PB 3.54/9.4,1.3PB,1.3,PB,71.30,3.54,9.4,[PB35]
Williamsburg Handmade Oil Paints,King's Blue,1.4PB 6.63/9.51,1.4PB,1.4,PB,71.40,6.63,9.51,[PB15:3] [PW4]
Williamsburg Handmade Oil Paints,Cerulean Blue French,1.6PB 2.61/8.65,1.6PB,1.6,PB,71.60,2.61,8.65,[PB36]
Williamsburg Handmade Safflower Oil Colors,Cerulean Blue French,1.8PB 2.6/8.75,1.8PB,1.8,PB,71.80,2.6,8.75,[PB36]
Williamsburg Handmade Oil Paints,Cerulean Blue,2.4PB 3.37/9.65,2.4PB,2.4,PB,72.40,3.37,9.65,[PB35]
Williamsburg Handmade Oil Paints,Phthalo Turquoise,2.5PB 0.62/2.76,2.5PB,2.5,PB,72.50,0.62,2.76,[PB15:3] [PG7]
Gamblin Artist's Oil Colors,Portland Cool Grey,2.5PB 6.5/2,2.5PB,2.5,PB,72.50,6.5,2,[PBk11] [PW6] [PB29]
Gamblin Artist's Oil Colors,Prussian Blue,2.5PB 2/4,2.5PB,2.5,PB,72.50,2,4,[PB27:1]
Schmincke Mussini Oil Colors,Bluish Gray 2,2.6PB 4.73/1.8,2.6PB,2.6,PB,72.60,4.73,1.8,[PW4] [PW6] [PBk10]
Schmincke Mussini Oil Colors,Lamp Black,3.1PB 0.94/0.4,3.1PB,3.1,PB,73.10,0.94,0.4,[PBk7]
Schmincke Mussini Oil Colors,Ivory Black,3.6PB 0.58/0.2,3.6PB,3.6,PB,73.60,0.58,0.2,[PBk9]
Schmincke Norma Professional Oil Colors,Cerulean Blue,4.5PB 2.82/10.8,4.5PB,4.5,PB,74.50,2.82,10.8,[PW4] [PB15:3] [PG18] [PW6]
Williamsburg Handmade Oil Paints,Lamp Black,4.5PB 1.39/0.11,4.5PB,4.5,PB,74.50,1.39,0.11,[PBk6]
Winsor & Newton Artists' Oil Colors,Cerulean Blue,5.0PB 4/12,5.0PB,5.0,PB,75.00,4,12,[PB35]
Gamblin Artist's Oil Colors,Cerulean Blue,5.0PB 4/12,5.0PB,5.0,PB,75.00,4,12,[PB35]
Gamblin Artist's Oil Colors,Cerulean Blue Hue,5.0PB 4/12,5.0PB,5.0,PB,75.00,4,12,[PB15] [PW4]
Gamblin Artist's Oil Colors,Indanthrone Blue,5.0PB 2/4,5.0PB,5.0,PB,75.00,2,4,[PB60]
Gamblin Artist's Oil Colors,Phthalo Blue,5.0PB 2/10,5.0PB,5.0,PB,75.00,2,10,[PB15:1]
Gamblin Artist's Oil Colors,Radiant Blue,5.0PB 7/10,5.0PB,5.0,PB,75.00,7,10,[PW6] [PB29]
Winsor & Newton Artists' Oil Colors,Winsor Blue (Green Shade),5.0PB 1/8,5.0PB,5.0,PB,75.00,1,8,[PB15]
Grumbacher Pre-Tested Artists' Oil Colors,Cobalt Blue Deep,5.2PB 1.84/7.1,5.2PB,5.2,PB,75.20,1.84,7.1,[PB72]
Williamsburg Handmade Oil Paints,Ivory Black,5.2PB 1.03/0.08,5.2PB,5.2,PB,75.20,1.03,0.08,[PBk9]
Gamblin Artist's Oil Colors,Cobalt Blue,6.3PB 3/12,6.3PB,6.3,PB,76.30,3,12,[PB28]
Grumbacher Pre-Tested Artists' Oil Colors,Cobalt Blue,6.3PB 2.25/8.2,6.3PB,6.3,PB,76.30,2.25,8.2,[PB28]
Williamsburg Handmade Oil Paints,Cobalt Blue,6.4PB 2.25/13.27,6.4PB,6.4,PB,76.40,2.25,13.27,[PB28]
Williamsburg Handmade Oil Paints,Cold Black,6.5PB 0.5/0.68,6.5PB,6.5,PB,76.50,0.5,0.68,[PBk9] [PB29]
Schmincke Mussini Oil Colors,Ultramarine Blue Light,6.7PB 2.14/18.7,6.7PB,6.7,PB,76.70,2.14,18.7,[PB29]
Williamsburg Handmade Oil Paints,Cobalt Blue Deep,6.8PB 2.2/15.36,6.8PB,6.8,PB,76.80,2.2,15.36,[PB28]
Maimeri Puro Oil Colors,Ultramarine Light,6.9PB 2.6/16.7,6.9PB,6.9,PB,76.90,2.6,16.7,[PB29]
Schmincke Norma Professional Oil Colors,Cobalt Blue Hue,7.1PB 0.91/12.3,7.1PB,7.1,PB,77.10,0.91,12.3,[PB29] [PB15:6] [PW4]
Schmincke Mussini Oil Colors,Prussian Paris Blue,7.4PB 0.86/2.7,7.4PB,7.4,PB,77.40,0.86,2.7,[PB27]
Williamsburg Handmade Oil Paints,Prussian Blue,7.5PB 0.5/4,7.5PB,7.5,PB,77.50,0.5,4,[PB27]
Schmincke Norma Professional Oil Colors,Prussian Blue,7.5PB 0.86/4.4,7.5PB,7.5,PB,77.50,0.86,4.4,[PB27]
Gamblin Artist's Oil Colors,Ultramarine Blue,7.5PB 2/10,7.5PB,7.5,PB,77.50,2,10,[PB29]
Grumbacher Pre-Tested Artists' Oil Colors,Dioxazine Purple,7.6PB 1.66/0.5,7.6PB,7.6,PB,77.60,1.66,0.5,[PV23]
Winsor & Newton Artists' Oil Colors,French Ultramarine,7.8PB 1.58/6,7.8PB,7.8,PB,77.80,1.58,6,[PB29]
Grumbacher Pre-Tested Artists' Oil Colors,Permanent Blue (Ultramarine),7.8PB 0.98/2.6,7.8PB,7.8,PB,77.80,0.98,2.6,[PB29]
Schmincke Mussini Oil Colors,Translucent Cyan,8.0PB 0.72/10.3,8.0PB,8.0,PB,78.00,0.72,10.3,[PB15:3]
Schmincke Mussini Oil Colors,Translucent Turquoise,8.1PB 0.76/9.7,8.1PB,8.1,PB,78.10,0.76,9.7,[PB16]
Grumbacher Pre-Tested Artists' Oil Colors,French Ultramarine Blue,8.2PB 0.69/3.2,8.2PB,8.2,PB,78.20,0.69,3.2,[PB29]
Schmincke Mussini Oil Colors,Translucent Oriental Blue,8.7PB 0.5/10.2,8.7PB,8.7,PB,78.70,0.5,10.2,[PB15:6]
Schmincke Norma Professional Oil Colors,Phthalo Blue,8.8PB 1.1/8,8.8PB,8.8,PB,78.80,1.1,8,[PB15:3]
Rembrandt Artists' Oil Colors,Ultramarine Deep,8.8PB 0.95/2.5,8.8PB,8.8,PB,78.80,0.95,2.5,[PB29]
Williamsburg Handmade Oil Paints,Ultramarine Blue French,8.9PB 0.66/11.57,8.9PB,8.9,PB,78.90,0.66,11.57,[PB29]
Rembrandt Artists' Oil Colors,Phthalo Blue Green,9.0PB 0.74/6.6,9.0PB,9.0,PB,79.00,0.74,6.6,[PB15:4]
Schmincke Norma Professional Oil Colors,Ultramarine Blue Deep,9.0PB 0.4/4.9,9.0PB,9.0,PB,79.00,0.4,4.9,[PB29]
